### GO-terms (molecular_function)
GO:0016740	GO:0005488	GO:0005198	GO:0003824	GO:0003676	GO:0016787	GO:0000166	GO:0003723	GO:0005515	GO:0008289	GO:0003677
### GO-names (molecular_function)
transferase activity	binding	structural molecule activity	catalytic activity	nucleic acid binding	hydrolase activity	nucleotide binding	RNA binding	protein binding	lipid binding	DNA binding
### GO-terms (biological_process)
GO:0007049	GO:0019538	GO:0008152	GO:0009628	GO:0009416	GO:0009987	GO:0006412	GO:0009058	GO:0015979
### GO-names (biological_process)
cell cycle	protein metabolic process	metabolic process	response to abiotic stimulus	response to light stimulus	cellular process	translation	biosynthetic process	photosynthesis
### GO-terms (cellular_component)
GO:0016020	GO:0009579	GO:0005829	GO:0009536	GO:0005634	GO:0005886	GO:0009507	GO:0005783	GO:0005622	GO:0005739	GO:0005730	GO:0005576	GO:0005737	GO:0005654	GO:0005840	GO:0005856
### GO-names (cellular_component)
membrane	thylakoid	cytosol	plastid	nucleus	plasma membrane	chloroplast	endoplasmic reticulum	intracellular anatomical structure	mitochondrion	nucleolus	extracellular region	cytoplasm	nucleoplasm	ribosome	cytoskeleton
### PDB-chain	GO-terms (molecular_function)	GO-terms (biological_process)	GO-terms (cellular_component)
8CSQ-4	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005886,GO:0005622,GO:0005739,GO:0005737,GO:0005654,GO:0005840
5IMR-3	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
3J6X-70	GO:0003676,GO:0005488,GO:0003723		GO:0005829,GO:0005737,GO:0005840,GO:0005622
6SW9-7	GO:0005488,GO:0003824,GO:0016787,GO:0000166,GO:0005515	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	
1M8Q-1	GO:0005488,GO:0003824,GO:0016787,GO:0000166,GO:0005515		GO:0005737,GO:0005856,GO:0005622
7TGH-6			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6TRC-9		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
7SUK-6	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005730,GO:0005622
7DGQ-2			GO:0005737,GO:0016020,GO:0005739,GO:0005622
8D8J-2			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
7EU3-6			GO:0016020,GO:0009536,GO:0009507,GO:0005622,GO:0005737
6PEM-3	GO:0005515,GO:0005488		GO:0005886,GO:0016020
6QX9-42	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
6GCS-3			GO:0005737,GO:0016020,GO:0005739,GO:0005622
4CE4-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
3J9Y-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
7Y5E-18		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
6UTJ-2	GO:0003824,GO:0016787		GO:0005737,GO:0005622
6YL3-1	GO:0003824,GO:0016787		GO:0005737,GO:0005622
6WM2-1	GO:0005515,GO:0005488		GO:0005886,GO:0016020
7YMI-3		GO:0009987,GO:0008152,GO:0015979	GO:0016020
3J9X-1	GO:0003676,GO:0003677,GO:0005488		
7UNG-5	GO:0016740,GO:0005488,GO:0003824,GO:0000166,GO:0005515		GO:0005829,GO:0005737,GO:0005856,GO:0005622
6I0Y-8	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
8S9S-5	GO:0005515,GO:0005488		GO:0016020,GO:0005783,GO:0005886,GO:0005622,GO:0005737
2R6R-1	GO:0005488,GO:0000166	GO:0007049,GO:0009987	GO:0005737,GO:0005622
7OYC-11	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005783,GO:0005634,GO:0005622,GO:0005737
8HTU-9		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
5U0P-2	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005622
6I9R-2		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
5V7Q-6	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
5X8R-8	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0009536,GO:0009507,GO:0005622,GO:0005737,GO:0005840
7JG5-9	GO:0003824,GO:0005488,GO:0016787,GO:0008289		GO:0005886,GO:0016020
5GAN-4	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737
4WQR-39	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7TXA-1	GO:0003824,GO:0016787	GO:0008152	
8IPD-9	GO:0003676,GO:0003677,GO:0005488,GO:0005515		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
6HKT-2	GO:0003676,GO:0003677,GO:0005488,GO:0005515		GO:0005634,GO:0016020,GO:0005622
8IYJ-2			GO:0005737,GO:0005856,GO:0005622
3JCO-2	GO:0005515,GO:0005488		GO:0005737,GO:0005634,GO:0016020,GO:0005622
8J07-5	GO:0005515,GO:0005488		GO:0005737,GO:0005856,GO:0005622
3J6X-25			GO:0005829,GO:0005737,GO:0005840,GO:0005622
1M8Q-4	GO:0005488,GO:0003824,GO:0016787,GO:0000166,GO:0005515		GO:0005737,GO:0005856,GO:0005622
5L8R-1		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7PNT-4	GO:0003676,GO:0005488,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005886,GO:0005622,GO:0005739,GO:0005737,GO:0005654,GO:0005840
8IYJ-4	GO:0005515,GO:0005488		GO:0005576,GO:0005737,GO:0005856,GO:0005622
6Q1F-5	GO:0003676,GO:0003677,GO:0005488		
8JD4-2	GO:0005515,GO:0005488	GO:0009987	GO:0016020,GO:0005829,GO:0005886,GO:0005622,GO:0005737
1LMB-3	GO:0003676,GO:0003677,GO:0005488		
7M2U-1	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
8ESW-3			GO:0005737,GO:0016020,GO:0005739,GO:0005622
8CSP-1	GO:0003676,GO:0005488,GO:0003723		GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
4WQ1-12	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6WLW-8	GO:0005515,GO:0005488		GO:0005886,GO:0016020
6RQC-4	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
6KGX-11		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7A5I-83	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005634,GO:0005622,GO:0005739,GO:0005730,GO:0005737,GO:0005840
4WQ1-15		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
8CSR-6	GO:0005515,GO:0005488		GO:0005737,GO:0016020,GO:0005739,GO:0005622
7K01-5	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
6WLW-6	GO:0005515,GO:0005488		GO:0005886,GO:0016020
6GYM-7	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0003677		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
2MCG-1			GO:0005886,GO:0016020,GO:0005576
5JBH-9	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	
7OUI-1		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005783,GO:0005622,GO:0005737
7K04-1	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
3T72-1	GO:0003676,GO:0003677,GO:0005488		
6VE7-6	GO:0003824,GO:0005488,GO:0016787,GO:0000166		GO:0005737,GO:0005856,GO:0005622
2HLD-1			GO:0005737,GO:0016020,GO:0005739,GO:0005622
3CW1-6	GO:0003676,GO:0005488,GO:0003723		
7O6Y-4			GO:0005737,GO:0016020,GO:0005739,GO:0005622
5KPS-7	GO:0005515,GO:0005488	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
6SJ6-7		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6ZA9-5	GO:0005488,GO:0008289		GO:0005737,GO:0016020,GO:0005739,GO:0005622
6O9L-5	GO:0005515,GO:0005488		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
5KPS-23	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
7YCA-6		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
3JAJ-6	GO:0003676,GO:0005488,GO:0003723		
3T72-4	GO:0003676,GO:0003677,GO:0005488		
7DGQ-4			GO:0005737,GO:0016020,GO:0005739,GO:0005622
5V8F-8	GO:0003676,GO:0003677,GO:0005488	GO:0007049,GO:0009987	GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
6RAY-6	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0005634,GO:0016020,GO:0005622
6ZA9-8	GO:0005488,GO:0008289		GO:0005737,GO:0016020,GO:0005739,GO:0005622
6W19-1	GO:0003676,GO:0003677,GO:0005488		
8A57-4		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6VLZ-6	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6U42-8	GO:0003824,GO:0005488,GO:0016787,GO:0000166		GO:0005737,GO:0005856,GO:0005622
7F9O-6			GO:0016020,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7EW6-5		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
6YLH-6	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
3J6X-61		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
5LUF-5			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6O9L-8	GO:0016740,GO:0005488,GO:0003824,GO:0000166,GO:0005515	GO:0007049,GO:0009987	GO:0016020,GO:0005829,GO:0005634,GO:0005886,GO:0005622,GO:0005737,GO:0005654
6IGZ-5		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
5LZP-2	GO:0005515,GO:0005488		GO:0005737,GO:0005886,GO:0016020,GO:0005622
7ENA-7	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0009987,GO:0008152	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654,GO:0005856
5XYM-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
3J7Y-8	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005634,GO:0005622,GO:0005739,GO:0005730,GO:0005737,GO:0005840
5IY5-2	GO:0005515,GO:0005488,GO:0008289		GO:0016020,GO:0005829,GO:0005622,GO:0005739,GO:0005737
7A01-32	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
3J6X-76	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
6IGZ-1		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
4N6V-1	GO:0003676,GO:0005488,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005730,GO:0005576,GO:0005737
3J6X-50		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
7YMI-7		GO:0009987,GO:0008152,GO:0015979	GO:0016020
8A57-8		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6H8K-1			GO:0005737,GO:0016020,GO:0005739,GO:0005622
5IY6-3	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005654,GO:0005622
6KAD-1		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
8FNI-9	GO:0003676,GO:0005488,GO:0003723		GO:0005737,GO:0016020,GO:0005739,GO:0005622
6GYM-1	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
6R6P-9	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
5MMI-7	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0009536,GO:0009507,GO:0005622,GO:0005737,GO:0005840
6W2T-9	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005622
6QX9-12	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
8J07-3	GO:0005515,GO:0005488		GO:0005737,GO:0005856,GO:0005622
8D8K-3			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
3J7Y-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
5WVI-2	GO:0003824,GO:0005515,GO:0005488,GO:0016787		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
3J7A-5		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7YCX-5	GO:0003676,GO:0003677,GO:0005488		GO:0005634,GO:0016020,GO:0005654,GO:0005622
8OUW-5	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0003677	GO:0007049,GO:0009987,GO:0008152	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
7RRO-2			GO:0005737,GO:0005856,GO:0005622
6B2Z-4	GO:0005488,GO:0008289		GO:0016020,GO:0005829,GO:0005622,GO:0005739,GO:0005737
5MEI-5		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6YW5-33			GO:0005737,GO:0016020,GO:0005739,GO:0005622
5XTH-4			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7ZKQ-2			GO:0005737,GO:0016020,GO:0005739,GO:0005622
8ESW-5			GO:0005737,GO:0016020,GO:0005739,GO:0005622
5FMF-2	GO:0003676,GO:0005488		GO:0005634,GO:0016020,GO:0005622
6FEC-3	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
6YWE-3			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
3JCR-6	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
5ZGH-2		GO:0009987,GO:0008152,GO:0015979	GO:0009536,GO:0005737,GO:0016020,GO:0005622
7JU4-9	GO:0003824,GO:0005488,GO:0016787,GO:0000166		GO:0005737,GO:0005856,GO:0005622
3LK4-1	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005886,GO:0005622,GO:0005737
7PHM-1			GO:0005886,GO:0016020,GO:0005576
4WQ1-11	GO:0016740,GO:0005488,GO:0003824,GO:0003676,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7ENC-9	GO:0005515,GO:0005488	GO:0007049,GO:0009987	GO:0005634,GO:0016020,GO:0005654,GO:0005622
6LU8-4	GO:0005488,GO:0003676,GO:0003723,GO:0000166,GO:0005515		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
4C2M-1	GO:0003676,GO:0003677,GO:0005488		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
8JD3-3		GO:0009987	GO:0005886,GO:0016020
6DZI-5	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
8ESW-6			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7EU3-2		GO:0009987,GO:0008152,GO:0015979	
5MLC-8	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0009536,GO:0009507,GO:0005622,GO:0005737,GO:0005840
1WAO-1	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0003723,GO:0005515,GO:0008289		GO:0016020,GO:0005829,GO:0005634,GO:0005886,GO:0005622,GO:0005737,GO:0005654
3J8G-5	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
6SWY-4			GO:0005829,GO:0005737,GO:0016020,GO:0005622
4WQ1-39	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7AS8-1	GO:0003676,GO:0005488,GO:0003723		
8J07-8			GO:0005737,GO:0005856,GO:0005622
4Y4O-22		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
8GZU-58			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7A5F-23		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6KAF-1		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
3J6X-16	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
6TRC-2		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
6WJV-3			GO:0005634,GO:0016020,GO:0005622
7PAU-7		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005622
8CVM-2		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7YCA-5		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
8IDT-7	GO:0005515,GO:0005488		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005654
7PZY-7			GO:0005737,GO:0005840,GO:0005622
6RQC-2	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
5V8F-7	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
6AHD-9	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
6QX9-21	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
3J6X-31		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005840
8C6J-7	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0003723,GO:0005515		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
6LU8-9	GO:0003676,GO:0003677,GO:0005488,GO:0005515		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
7YMI-2		GO:0009987,GO:0008152,GO:0015979	GO:0016020
7JG5-7	GO:0003824,GO:0005488,GO:0016787,GO:0008289		GO:0005886,GO:0016020
7PZY-8	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
8CVM-4	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6ZYM-9	GO:0005515,GO:0005488		GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005856
3J79-4		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
1ILR-1	GO:0005515,GO:0005488	GO:0009987,GO:0008152	GO:0016020,GO:0005829,GO:0005634,GO:0005886,GO:0005622,GO:0005576,GO:0005737,GO:0005654
6KIF-2		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
3J79-6	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
4WQR-41	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7YCA-3		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7AS4-3	GO:0005515,GO:0005488,GO:0005198		GO:0016020,GO:0005829,GO:0005622,GO:0005737,GO:0005856
6I9R-6	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005622,GO:0005739,GO:0005737,GO:0005840
5Y6P-24		GO:0009987,GO:0008152,GO:0015979	
4CE4-8		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6RD4-1			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6J5I-8			GO:0005737,GO:0016020,GO:0005739,GO:0005622
4PJ1-2	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0005737,GO:0016020,GO:0005739,GO:0005622
4W2E-5		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
3J6B-2			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
5IY6-2	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005654,GO:0005622
6IP5-21	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654,GO:0005840
3J6X-18	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005622,GO:0005739,GO:0005737,GO:0005840
7TGH-2			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6TT7-2	GO:0005488,GO:0008289		GO:0005737,GO:0016020,GO:0005739,GO:0005622
6VLZ-5	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6I9R-4	GO:0005515,GO:0005488	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
3JC2-2			GO:0005737,GO:0016020,GO:0005783,GO:0005622
6U0M-7	GO:0003676,GO:0003677,GO:0005488		
3JCO-3	GO:0003824,GO:0016787		GO:0005737,GO:0005634,GO:0016020,GO:0005622
8JCU-2	GO:0005515,GO:0005488	GO:0009987	GO:0016020,GO:0005829,GO:0005886,GO:0005622,GO:0005737
3HLN-1	GO:0003824,GO:0005515,GO:0005488,GO:0016787		GO:0005829,GO:0005737,GO:0016020,GO:0005622
8FNC-7	GO:0003676,GO:0005488,GO:0003723		GO:0005737,GO:0016020,GO:0005739,GO:0005622
5JB3-8		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	
6IJJ-7		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
6NU2-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
1RYP-1	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
3JCR-5	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
3J9Y-5	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
3J6B-4			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
5LN3-4	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
1M5Q-1	GO:0003676,GO:0005488,GO:0003723		
3JCR-7	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
6HE5-1	GO:0003824,GO:0005515,GO:0005488,GO:0016787		GO:0005737,GO:0005622
8FNC-6	GO:0003676,GO:0005488,GO:0003723		GO:0005737,GO:0016020,GO:0005739,GO:0005622
5LN3-6	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005576,GO:0005737,GO:0005654
7ENA-5	GO:0005515,GO:0005488		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
6VPV-4		GO:0009987,GO:0008152,GO:0015979	GO:0009579,GO:0005622
3J6X-23		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
